"","subID","critRT","block","Trial","Resp","RT","ACC","rewType","congruent","taskSwitch","group","condition"
"1",1,712,6,1,4,649,1,"Reward4","congruent",0,"YA","baseline"
"2",1,712,6,2,4,752,1,"Reward2","incongruent",1,"YA","baseline"
"3",1,712,6,3,4,790,1,"Reward1","congruent",1,"YA","baseline"
"4",1,712,6,4,3,624,1,"Reward1","incongruent",1,"YA","baseline"
"5",1,712,6,5,3,1439,1,"Reward4","congruent",1,"YA","baseline"
"6",1,712,6,6,3,1084,1,"Reward2","congruent",0,"YA","baseline"
"7",1,712,6,7,4,591,1,"Reward1","congruent",1,"YA","baseline"
"8",1,712,6,8,4,901,1,"Reward4","incongruent",1,"YA","baseline"
"9",1,712,6,9,4,662,1,"Reward1","incongruent",0,"YA","baseline"
"10",1,712,6,10,3,857,0,"Reward4","incongruent",1,"YA","baseline"
"11",1,712,6,11,4,1539,1,"Reward1","congruent",0,"YA","baseline"
"12",1,712,6,12,3,1542,1,"Reward2","congruent",1,"YA","baseline"
"13",1,712,6,13,4,1404,1,"Reward1","congruent",0,"YA","baseline"
"14",1,712,6,14,3,1361,1,"Reward1","congruent",0,"YA","baseline"
"15",1,712,6,15,4,1443,1,"Reward2","congruent",0,"YA","baseline"
"16",1,712,6,16,4,1161,1,"Reward2","incongruent",0,"YA","baseline"
"17",1,712,6,17,3,1019,1,"Reward4","incongruent",0,"YA","baseline"
"18",1,712,6,18,3,755,1,"Reward4","incongruent",1,"YA","baseline"
"19",1,712,6,19,3,1108,1,"Reward1","congruent",1,"YA","baseline"
"20",1,712,6,20,3,823,1,"Reward4","congruent",0,"YA","baseline"
"21",1,712,6,21,3,1346,1,"Reward1","congruent",0,"YA","baseline"
"22",1,712,6,22,4,1846,1,"Reward4","incongruent",0,"YA","baseline"
"23",1,712,6,23,4,767,1,"Reward2","congruent",1,"YA","baseline"
"24",1,712,6,24,3,600,1,"Reward4","incongruent",0,"YA","baseline"
"25",1,712,6,25,3,1012,1,"Reward1","congruent",0,"YA","baseline"
"26",1,712,6,26,4,692,1,"Reward4","incongruent",0,"YA","baseline"
"27",1,712,6,27,3,801,1,"Reward1","incongruent",1,"YA","baseline"
"28",1,712,6,28,4,712,1,"Reward4","congruent",0,"YA","baseline"
"29",1,712,6,29,3,801,1,"Reward2","incongruent",0,"YA","baseline"
"30",1,712,6,30,4,592,1,"Reward4","congruent",1,"YA","baseline"
"31",1,712,6,31,4,805,1,"Reward2","incongruent",0,"YA","baseline"
"32",1,712,6,32,3,719,1,"Reward2","incongruent",1,"YA","baseline"
"33",1,712,6,33,4,737,1,"Reward1","incongruent",1,"YA","baseline"
"34",1,712,6,34,4,802,1,"Reward4","incongruent",1,"YA","baseline"
"35",1,712,6,35,NA,0,0,"Reward4","congruent",1,"YA","baseline"
"36",1,712,6,36,3,1032,1,"Reward4","congruent",0,"YA","baseline"
"37",1,712,6,37,4,905,1,"Reward4","congruent",1,"YA","baseline"
"38",1,712,6,38,4,629,1,"Reward1","incongruent",1,"YA","baseline"
"39",1,712,6,39,3,1212,1,"Reward1","congruent",1,"YA","baseline"
"40",1,712,6,40,3,1293,1,"Reward2","congruent",0,"YA","baseline"
"41",1,712,6,41,4,1245,1,"Reward2","incongruent",1,"YA","baseline"
"42",1,712,6,42,3,808,1,"Reward2","incongruent",0,"YA","baseline"
"43",1,712,6,43,4,1320,1,"Reward1","congruent",1,"YA","baseline"
"44",1,712,6,44,4,1651,1,"Reward4","congruent",1,"YA","baseline"
"45",1,712,6,45,3,671,1,"Reward4","incongruent",1,"YA","baseline"
"46",1,712,6,46,4,1736,1,"Reward2","congruent",0,"YA","baseline"
"47",1,712,6,47,3,1315,1,"Reward1","incongruent",0,"YA","baseline"
"48",1,712,6,48,3,953,1,"Reward1","incongruent",1,"YA","baseline"
"49",1,712,6,49,4,659,1,"Reward4","congruent",0,"YA","baseline"
"50",1,712,6,50,4,954,1,"Reward2","incongruent",1,"YA","baseline"
"51",1,712,6,51,4,979,1,"Reward2","incongruent",0,"YA","baseline"
"52",1,712,6,52,3,902,1,"Reward4","congruent",1,"YA","baseline"
"53",1,712,6,53,4,1417,1,"Reward2","congruent",1,"YA","baseline"
"54",1,712,6,54,3,1021,1,"Reward4","incongruent",0,"YA","baseline"
"55",1,712,6,55,4,654,1,"Reward4","incongruent",1,"YA","baseline"
"56",1,712,6,56,3,577,1,"Reward1","incongruent",0,"YA","baseline"
"57",1,712,6,57,NA,0,0,"Reward2","incongruent",0,"YA","baseline"
"58",1,712,6,58,4,644,1,"Reward2","congruent",0,"YA","baseline"
"59",1,712,6,59,3,936,1,"Reward2","congruent",1,"YA","baseline"
"60",1,712,6,60,4,1128,1,"Reward1","incongruent",0,"YA","baseline"
"61",1,712,6,61,3,1754,1,"Reward2","incongruent",1,"YA","baseline"
"62",1,712,6,62,4,728,1,"Reward4","incongruent",0,"YA","baseline"
"63",1,712,6,63,3,756,1,"Reward4","incongruent",0,"YA","baseline"
"64",1,712,6,64,4,469,1,"Reward2","incongruent",0,"YA","baseline"
"65",1,712,6,65,3,1136,0,"Reward1","incongruent",1,"YA","baseline"
"66",1,712,6,66,3,1374,1,"Reward1","incongruent",0,"YA","baseline"
"67",1,712,6,67,NA,0,0,"Reward4","incongruent",0,"YA","baseline"
"68",1,712,6,68,3,804,1,"Reward2","congruent",1,"YA","baseline"
"69",1,712,6,69,3,574,1,"Reward4","congruent",0,"YA","baseline"
"70",1,712,6,70,4,710,1,"Reward1","incongruent",1,"YA","baseline"
"71",1,712,6,71,4,1171,0,"Reward1","congruent",1,"YA","baseline"
"72",1,712,6,72,4,984,1,"Reward2","congruent",0,"YA","baseline"
