,subID,group,block,critRT,Trial,Resp,RT,ACC,rewType,moneyearned,congruent,taskswitch
1,1,YA,7,712,1,4,596,1,Reward2,0.02,congruent,0
2,1,YA,7,712,2,3,479,1,Reward2,0.02,incongruent,0
3,1,YA,7,712,3,3,568,1,Reward2,0.02,congruent,1
4,1,YA,7,712,4,4,912,0,Reward2,0,incongruent,0
5,1,YA,7,712,5,4,440,1,Reward4,0.04,incongruent,0
6,1,YA,7,712,6,3,754,1,Reward2,0,congruent,1
7,1,YA,7,712,7,3,631,0,Reward4,0,congruent,0
8,1,YA,7,712,8,4,724,1,Reward1,0,incongruent,0
9,1,YA,7,712,9,3,527,1,Reward2,0.02,incongruent,0
10,1,YA,7,712,10,4,426,1,Reward1,0.01,congruent,1
11,1,YA,7,712,11,4,525,1,Reward1,0.01,congruent,1
12,1,YA,7,712,12,4,463,1,Reward2,0.02,incongruent,1
13,1,YA,7,712,13,4,538,1,Reward1,0.01,congruent,0
14,1,YA,7,712,14,4,513,1,Reward4,0.04,congruent,0
15,1,YA,7,712,15,3,559,1,Reward2,0.02,congruent,0
16,1,YA,7,712,16,3,565,1,Reward4,0.04,incongruent,0
17,1,YA,7,712,17,3,549,1,Reward2,0.02,incongruent,1
18,1,YA,7,712,18,3,498,1,Reward4,0.04,incongruent,0
19,1,YA,7,712,19,3,1175,1,Reward2,0,congruent,0
20,1,YA,7,712,20,4,574,1,Reward4,0.04,congruent,0
21,1,YA,7,712,21,3,669,1,Reward1,0.01,congruent,1
22,1,YA,7,712,22,4,690,1,Reward1,0.01,congruent,0
23,1,YA,7,712,23,3,590,1,Reward2,0.02,congruent,0
24,1,YA,7,712,24,3,561,0,Reward4,0,incongruent,1
25,1,YA,7,712,25,3,521,1,Reward4,0.04,congruent,1
26,1,YA,7,712,26,4,488,1,Reward2,0.02,congruent,0
27,1,YA,7,712,27,4,530,1,Reward1,0.01,congruent,1
28,1,YA,7,712,28,3,581,1,Reward2,0.02,incongruent,1
29,1,YA,7,712,29,3,597,1,Reward2,0.02,incongruent,0
30,1,YA,7,712,30,3,485,1,Reward1,0.01,incongruent,0
31,1,YA,7,712,31,4,586,1,Reward2,0.02,congruent,1
32,1,YA,7,712,32,4,422,1,Reward1,0.01,incongruent,1
33,1,YA,7,712,33,4,457,1,Reward4,0.04,congruent,0
34,1,YA,7,712,34,3,424,1,Reward2,0.02,congruent,1
35,1,YA,7,712,35,3,556,1,Reward4,0.04,incongruent,1
36,1,YA,7,712,36,4,745,1,Reward4,0,congruent,1
37,1,YA,7,712,37,4,545,1,Reward4,0.04,incongruent,1
38,1,YA,7,712,38,4,609,1,Reward2,0.02,incongruent,0
39,1,YA,7,712,39,4,365,1,Reward1,0.01,incongruent,0
40,1,YA,7,712,40,4,404,1,Reward4,0.04,incongruent,0
41,1,YA,7,712,41,3,476,1,Reward4,0.04,congruent,1
42,1,YA,7,712,42,4,931,0,Reward1,0,congruent,1
43,1,YA,7,712,43,3,737,1,Reward1,0,congruent,0
44,1,YA,7,712,44,3,643,1,Reward1,0.01,incongruent,1
45,1,YA,7,712,45,4,504,1,Reward2,0.02,incongruent,0
46,1,YA,7,712,46,3,410,1,Reward4,0.04,congruent,0
47,1,YA,7,712,47,4,475,1,Reward4,0.04,incongruent,0
48,1,YA,7,712,48,3,568,1,Reward1,0.01,incongruent,1
49,1,YA,7,712,49,3,459,1,Reward4,0.04,congruent,0
50,1,YA,7,712,50,4,600,1,Reward4,0.04,incongruent,1
51,1,YA,7,712,51,4,501,1,Reward2,0.02,incongruent,1
52,1,YA,7,712,52,4,560,1,Reward2,0.02,incongruent,0
53,1,YA,7,712,53,4,554,0,Reward1,0,incongruent,1
54,1,YA,7,712,54,3,353,1,Reward4,0.04,incongruent,1
55,1,YA,7,712,55,4,453,1,Reward2,0.02,congruent,1
56,1,YA,7,712,56,4,392,1,Reward4,0.04,congruent,1
57,1,YA,7,712,57,3,559,1,Reward1,0.01,congruent,0
58,1,YA,7,712,58,3,623,1,Reward4,0.04,incongruent,1
59,1,YA,7,712,59,4,515,1,Reward2,0.02,congruent,1
60,1,YA,7,712,60,4,803,1,Reward2,0,incongruent,1
61,1,YA,7,712,61,3,435,1,Reward2,0.02,incongruent,1
62,1,YA,7,712,62,4,354,1,Reward2,0.02,congruent,0
63,1,YA,7,712,63,3,638,1,Reward1,0.01,incongruent,0
64,1,YA,7,712,64,3,686,0,Reward1,0,incongruent,1
65,1,YA,7,712,65,4,431,1,Reward4,0.04,incongruent,1
66,1,YA,7,712,66,4,851,1,Reward1,0,incongruent,1
67,1,YA,7,712,67,4,414,1,Reward1,0.01,congruent,0
68,1,YA,7,712,68,3,480,1,Reward2,0.02,congruent,1
69,1,YA,7,712,69,3,967,1,Reward1,0,congruent,1
70,1,YA,7,712,70,3,497,1,Reward1,0.01,congruent,0
71,1,YA,7,712,71,3,418,1,Reward2,0.02,congruent,0
72,1,YA,7,712,72,4,504,1,Reward4,0.04,congruent,1
73,1,YA,7,712,73,4,1034,1,Reward4,0,congruent,1
74,1,YA,7,712,74,3,466,1,Reward4,0.04,congruent,1
