subID,block,liquid,include,group,subID.orig
1,7,neutral,yes,YA,1
1,8,juice,yes,YA,1
1,9,saltwater,yes,YA,1
2,7,neutral,yes,YA,2
2,8,saltwater,yes,YA,2
2,9,juice,yes,YA,2
3,7,juice,yes,YA,3
3,8,neutral,yes,YA,3
3,9,saltwater,yes,YA,3
4,7,juice,yes,YA,4
4,8,saltwater,yes,YA,4
4,9,neutral,yes,YA,4
5,7,saltwater,yes,YA,5
5,8,juice,yes,YA,5
5,9,neutral,yes,YA,5
6,7,saltwater,yes,YA,6
6,8,neutral,yes,YA,6
6,9,juice,yes,YA,6
7,7,neutral,yes,YA,7
7,8,juice,yes,YA,7
7,9,saltwater,yes,YA,7
8,7,neutral,yes,YA,8
8,8,saltwater,yes,YA,8
8,9,juice,yes,YA,8
9,7,juice,yes,YA,9
9,8,neutral,yes,YA,9
9,9,saltwater,yes,YA,9
10,7,juice,yes,YA,10
10,8,saltwater,yes,YA,10
10,9,neutral,yes,YA,10
11,7,saltwater,no,YA,11
11,8,juice,no,YA,11
11,9,neutral,no,YA,11
12,7,saltwater,yes,YA,12
12,8,neutral,yes,YA,12
12,9,juice,yes,YA,12
13,7,neutral,yes,YA,13
13,8,juice,yes,YA,13
13,9,saltwater,yes,YA,13
14,7,neutral,yes,YA,14
14,8,saltwater,yes,YA,14
14,9,juice,yes,YA,14
15,7,juice,yes,YA,15
15,8,neutral,yes,YA,15
15,9,saltwater,yes,YA,15
16,7,juice,yes,YA,16
16,8,saltwater,yes,YA,16
16,9,neutral,yes,YA,16
17,7,saltwater,yes,YA,17
17,8,juice,yes,YA,17
17,9,neutral,yes,YA,17
18,7,saltwater,yes,YA,18
18,8,neutral,yes,YA,18
18,9,juice,yes,YA,18
19,7,neutral,yes,YA,19
19,8,juice,yes,YA,19
19,9,saltwater,yes,YA,19
20,7,neutral,yes,YA,20
20,8,saltwater,yes,YA,20
20,9,juice,yes,YA,20
21,7,juice,yes,YA,21
21,8,neutral,yes,YA,21
21,9,saltwater,yes,YA,21
22,7,juice,yes,YA,22
22,8,saltwater,yes,YA,22
22,9,neutral,yes,YA,22
23,7,saltwater,no,YA,23
23,8,juice,no,YA,23
23,9,neutral,no,YA,23
24,7,saltwater,yes,YA,24
24,8,neutral,yes,YA,24
24,9,juice,yes,YA,24
25,7,neutral,yes,YA,25
25,8,juice,yes,YA,25
25,9,saltwater,yes,YA,25
26,7,neutral,no,YA,26
26,8,saltwater,no,YA,26
26,9,juice,no,YA,26
27,7,juice,no,YA,27
27,8,neutral,no,YA,27
27,9,saltwater,no,YA,27
28,7,juice,yes,YA,28
28,8,saltwater,yes,YA,28
28,9,neutral,yes,YA,28
29,7,saltwater,yes,YA,29
29,8,juice,yes,YA,29
29,9,neutral,yes,YA,29
30,7,saltwater,yes,YA,30
30,8,neutral,yes,YA,30
30,9,juice,yes,YA,30
31,7,neutral,yes,YA,31
31,8,juice,yes,YA,31
31,9,saltwater,yes,YA,31
32,7,neutral,yes,YA,32
32,8,saltwater,yes,YA,32
32,9,juice,yes,YA,32
33,7,juice,yes,YA,33
33,8,neutral,yes,YA,33
33,9,saltwater,yes,YA,33
34,7,juice,yes,YA,34
34,8,saltwater,yes,YA,34
34,9,neutral,yes,YA,34
35,7,saltwater,yes,YA,35
35,8,juice,yes,YA,35
35,9,neutral,yes,YA,35
36,7,saltwater,yes,YA,36
36,8,neutral,yes,YA,36
36,9,juice,yes,YA,36
37,7,neutral,yes,YA,37
37,8,juice,yes,YA,37
37,9,saltwater,yes,YA,37
38,7,neutral,yes,YA,38
38,8,saltwater,yes,YA,38
38,9,juice,yes,YA,38
39,7,juice,yes,YA,39
39,8,neutral,yes,YA,39
39,9,saltwater,yes,YA,39
40,7,juice,yes,YA,40
40,8,saltwater,yes,YA,40
40,9,neutral,yes,YA,40
41,7,saltwater,yes,YA,41
41,8,juice,yes,YA,41
41,9,neutral,yes,YA,41
42,7,saltwater,yes,YA,42
42,8,neutral,yes,YA,42
42,9,juice,yes,YA,42
43,7,neutral,yes,YA,43
43,8,juice,yes,YA,43
43,9,saltwater,yes,YA,43
44,7,neutral,yes,YA,44
44,8,saltwater,yes,YA,44
44,9,juice,yes,YA,44
45,7,juice,yes,YA,45
45,8,neutral,yes,YA,45
45,9,saltwater,yes,YA,45
46,7,juice,yes,YA,46
46,8,saltwater,yes,YA,46
46,9,neutral,yes,YA,46
47,7,saltwater,yes,YA,47
47,8,juice,yes,YA,47
47,9,neutral,yes,YA,47
48,7,saltwater,yes,YA,48
48,8,neutral,yes,YA,48
48,9,juice,yes,YA,48
49,7,neutral,yes,YA,49
49,8,juice,yes,YA,49
49,9,saltwater,yes,YA,49
50,7,neutral,yes,YA,50
50,8,saltwater,yes,YA,50
50,9,juice,yes,YA,50
51,7,juice,yes,YA,51
51,8,neutral,yes,YA,51
51,9,saltwater,yes,YA,51
52,7,juice,yes,YA,52
52,8,saltwater,yes,YA,52
52,9,neutral,yes,YA,52
53,7,saltwater,yes,YA,53
53,8,juice,yes,YA,53
53,9,neutral,yes,YA,53
54,7,saltwater,yes,YA,54
54,8,neutral,yes,YA,54
54,9,juice,yes,YA,54
55,7,neutral,no,YA,55
55,8,juice,no,YA,55
55,9,saltwater,no,YA,55
56,7,neutral,yes,YA,56
56,8,saltwater,yes,YA,56
