subID,group,include,age,juice_like,juice_intense,salt_like,salt_intense,neut_like,neut_intense,juice1_motivation,juice1_like,salt1_motivation,salt1_like,neut1_motivation,neut1_like,juice2_motivation,juice2_like,salt2_motivation,salt2_like,neut2_motivation,neut2_like,juice4_motivation,juice4_like,salt4_motivation,salt4_like,neut4_motivation,neut4_like,basdrive,basfun,basreward,bis
1,YA,yes,19,7,5,2,6,4,1,7,7,2,1,5,4,7,7,2,1,5,4,7,7,4,3,5,4,11,11,18,23
2,YA,yes,20,7,6,1,6,3,3,5,4,1,1,2,4,5,5,1,1,2,4,6,6,1,1,3,4,11,13,16,20
3,YA,yes,19,6,5,2,7,4,4,7,7,7,2,7,4,7,7,7,2,7,4,7,7,7,2,7,4,11,12,16,25
4,YA,yes,18,6,7,1,7,2,4,7,5,1,1,1,1,7,6,1,1,1,1,7,6,1,1,4,1,10,11,19,25
5,YA,yes,20,5,6,1,6,4,2,2,2,2,2,2,2,5,5,4,4,5,5,7,6,7,5,7,6,14,15,20,27
6,YA,yes,23,6,5,1,2,3,4,6,6,2,2,4,4,6,6,2,2,4,4,6,6,2,2,4,4,11,10,19,22
7,YA,yes,18,6,6,2,4,2,2,4,5,1,1,2,2,5,6,3,3,4,3,7,7,6,5,6,5,13,13,18,24
8,YA,yes,21,7,5,1,7,2,3,7,5,2,1,3,2,7,6,3,1,3,2,7,7,4,1,4,2,15,14,20,23
9,YA,yes,20,5,7,2,6,5,3,5,5,6,2,4,4,5,5,5,2,5,3,6,4,7,4,6,3,10,8,18,25
10,YA,yes,19,6,6,1,7,3,5,5,7,1,1,4,4,6,7,2,1,5,5,7,7,6,1,7,5,10,12,17,24
11,YA,no,21,6,4,1,6,4,1,5,3,7,1,5,3,5,4,6,2,5,5,6,6,7,3,4,5,,,,
12,YA,yes,21,5,6,2,5,4,3,4,4,3,2,4,3,5,5,5,4,4,3,6,6,6,5,6,6,9,12,15,19
13,YA,yes,18,7,4,1,5,3,3,5,7,1,1,4,3,6,7,2,1,5,3,7,7,4,1,5,3,9,8,17,24
14,YA,yes,20,6,6,1,6,3,3,5,7,1,1,5,5,6,7,2,1,6,5,7,7,5,1,7,5,11,11,20,24
15,YA,yes,21,6,4,1,6,4,2,3,6,1,1,3,5,5,5,1,1,5,5,6,6,2,1,6,6,12,11,18,22
16,YA,yes,18,7,5,1,6,2,5,6,6,5,2,5,2,5,5,5,2,5,2,7,7,7,3,7,3,16,14,20,25
17,YA,yes,20,5,7,2,6,6,3,5,5,2,1,6,5,6,6,4,2,6,5,7,7,6,3,7,7,13,15,19,23
18,YA,yes,18,6,4,2,3,2,2,3,6,2,1,2,1,4,6,3,2,3,2,6,6,5,2,5,2,12,10,17,23
19,YA,yes,20,7,6,1,6,2,4,6,7,3,3,5,4,6,7,4,3,5,4,7,7,5,3,5,4,12,14,19,23
20,YA,yes,28,7,1,1,7,4,4,7,4,1,3,4,7,7,4,1,3,4,6,7,4,1,2,4,7,12,15,14,12
21,YA,yes,25,3,1,1,1,3,3,6,4,2,1,6,4,6,3,3,1,6,3,7,6,7,4,7,4,10,8,17,21
22,YA,yes,18,6,3,2,5,3,4,7,7,2,1,1,2,7,7,1,1,1,1,7,7,3,1,4,1,14,16,19,16
23,YA,no,25,7,2,1,3,3,4,7,7,6,1,7,4,7,7,7,1,7,3,7,6,7,1,7,5,9,9,18,19
24,YA,yes,19,6,5,2,6,1,7,5,7,4,2,2,1,7,6,5,3,5,2,7,5,7,5,7,4,9,14,20,25
25,YA,yes,18,7,6,1,7,2,6,7,7,2,1,2,2,6,7,4,1,5,1,7,7,5,1,6,1,16,15,19,18
26,YA,no,19,7,5,1,6,1,6,7,7,1,1,1,1,7,7,1,1,3,1,7,7,2,1,5,1,9,11,19,23
27,YA,no,19,6,5,2,5,4,1,6,5,6,2,6,5,6,5,6,2,6,5,6,5,6,2,6,5,12,15,19,17
28,YA,yes,18,7,7,2,6,5,4,5,5,3,3,5,3,6,5,5,3,5,4,7,6,7,6,7,3,13,13,18,21
29,YA,yes,18,6,5,1,4,3,3,7,6,5,1,6,2,6,6,4,2,5,3,7,7,5,2,6,2,16,16,17,16
30,YA,yes,20,5,3,2,5,4,4,4,5,2,2,3,2,5,5,4,2,4,3,7,6,6,3,6,5,7,9,16,23
31,YA,yes,19,7,7,1,7,3,3,7,7,1,1,5,5,7,7,3,1,6,5,7,7,6,1,7,5,9,8,16,24
32,YA,yes,19,6,5,3,3,4,1,5,4,4,2,4,3,5,4,4,2,4,3,6,5,5,2,5,3,12,15,18,22
33,YA,yes,18,6,5,2,5,3,4,6,6,2,2,3,3,6,6,2,2,3,3,7,7,5,5,5,5,5,11,14,21
34,YA,yes,18,6,6,1,6,3,4,6,6,1,1,5,3,6,6,2,1,6,1,7,7,3,1,7,3,13,14,17,19
35,YA,yes,18,7,6,4,4,2,3,4,7,4,4,6,2,4,7,4,4,6,2,4,7,4,4,6,2,13,15,20,21
36,YA,yes,20,4,6,2,7,3,2,7,7,3,2,5,5,7,7,5,3,6,6,7,7,6,4,7,7,9,11,17,21
37,YA,yes,19,7,4,4,6,6,2,7,7,6,6,6,6,7,7,6,6,6,6,7,7,7,7,7,7,10,12,20,17
38,YA,yes,19,5,6,1,7,3,5,5,5,1,1,5,3,5,5,1,1,3,3,5,5,1,1,4,3,11,10,16,25
39,YA,yes,21,7,5,1,1,3,3,7,7,1,1,3,3,7,7,2,2,4,4,7,7,5,4,5,5,8,10,19,22
40,YA,yes,18,6,5,1,4,2,3,6,6,4,3,5,4,6,6,4,3,5,4,7,6,5,4,6,5,11,11,18,25
41,YA,yes,19,6,6,1,7,2,6,7,7,1,1,2,2,7,7,2,1,3,2,7,7,4,1,5,2,9,12,16,26
42,YA,yes,21,7,6,2,7,4,1,5,4,4,4,5,4,6,6,5,4,5,4,7,7,7,5,7,6,8,8,19,24
43,YA,yes,20,5,6,1,6,7,1,6,6,4,1,6,7,6,6,4,1,6,7,7,6,5,1,7,7,14,13,20,19
44,YA,yes,18,7,5,4,7,2,1,5,6,3,4,,,6,6,5,6,4,4,7,7,7,7,7,7,14,13,20,27
45,YA,yes,39,2,7,1,5,6,2,6,2,6,1,7,7,7,2,7,1,7,7,7,1,7,1,7,7,9,10,20,23
46,YA,yes,19,5,5,3,5,7,1,7,4,7,3,7,7,7,4,7,3,7,7,7,4,7,3,7,,10,14,16,16
47,YA,yes,21,6,7,1,6,2,5,5,7,4,4,3,3,5,5,4,4,5,4,6,6,6,6,6,5,12,15,18,14
48,YA,yes,29,7,6,1,5,3,2,5,5,1,1,3,3,6,6,6,3,6,4,7,7,7,2,7,4,12,14,17,25
49,YA,yes,28,4,5,1,7,4,4,6,4,1,1,4,4,6,4,1,1,4,4,6,4,1,1,4,,10,9,17,22
50,YA,yes,20,7,5,1,7,4,4,7,4,1,1,7,4,7,5,3,1,5,4,7,7,7,1,7,4,10,10,16,20
51,YA,yes,21,6,5,1,2,1,2,7,6,5,1,5,1,7,6,6,1,6,1,7,6,6,1,6,1,11,11,15,21
52,YA,yes,22,7,6,1,1,4,4,5,5,2,1,3,3,6,6,2,1,5,4,7,7,4,2,6,6,12,12,17,21
53,YA,yes,21,6,3,2,4,3,1,7,7,7,3,7,5,7,7,7,3,7,5,7,7,7,5,7,5,9,14,17,19
54,YA,yes,20,7,6,1,6,2,5,6,6,2,2,4,2,7,6,4,2,5,2,7,7,5,2,6,2,14,14,19,24
55,YA,no,19,6,4,1,6,3,5,5,7,1,1,2,1,6,7,1,1,3,1,7,7,1,1,3,1,12,16,20,20
56,YA,yes,21,7,5,2,6,3,2,7,5,6,2,6,5,7,6,7,2,7,6,7,7,7,2,7,6,11,13,18,24
57,YA,no,18,5,6,4,1,1,7,5,6,7,3,7,6,6,6,7,3,7,5,7,5,7,2,7,5,10,8,15,20
58,YA,yes,18,5,4,1,6,2,4,7,7,7,2,7,3,7,7,7,2,7,3,7,7,7,4,7,4,8,12,18,21
59,YA,yes,20,7,5,2,5,4,2,6,7,2,1,6,4,6,7,3,1,6,4,7,7,5,2,7,4,10,16,16,17
60,YA,yes,19,7,5,1,6,3,3,5,7,2,2,3,3,7,7,5,2,6,4,7,7,7,4,7,5,12,12,18,22
62,OA,yes,69,5,6,4,4,3,4,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,7,14,15
63,OA,no,71,4,4,1,1,6,6,5,5,6,6,7,7,5,5,3,6,6,6,5,5,6,6,5,5,10,12,13,13
64,OA,yes,74,4,6,1,7,5,3,6,6,1,1,6,6,7,7,1,1,6,6,7,7,1,1,6,6,11,12,19,15
65,OA,yes,76,7,6,3,5,3,5,6,6,6,4,6,6,6,6,6,5,6,5,7,6,7,6,7,6,7,15,14,13
66,OA,yes,75,7,5,3,4,4,3,5,7,4,4,4,5,7,7,5,5,5,,7,7,6,5,5,6,11,13,18,12
67,OA,yes,86,4,6,2,7,4,2,2,2,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,15,15,20,18
68,OA,yes,73,6,5,3,5,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,12,12,17,16
69,OA,yes,74,,,,,,,,,,,,,,,,,,,,,,,,,,11,18,14
70,OA,yes,71,7,6,4,4,6,4,6,7,6,5,6,6,6,7,6,4,6,6,7,7,7,5,7,5,8,13,16,19
